id,uuid,timestamp,date,coverurl,url,comment,duration,title,bonus,artist,show,videourl
562,1efc70f7-ae68-4b18-953f-64c65f27f275,1589377445944,13th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200513_1000_Recording.mp3,"Started from the bottom, now we're here... wherever 'here' is. It's a milestone of an episode.\n\nTracklist:\n\nCam'ron, Jimmy Jones & The Diplomats - I Really Mean It\nSlick Rick - Street Talkin' feat. OutKast\nRMR - Rascal",59:26:00,#050 - Fifty Shades Of Jimmy,FALSE,Jimmy Budd,The Jimmy Budd Experience,
563,1efc70f7-ae68-4b18-953f-64c65f27f275,1589462559013,14th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200514_1000_Recording_2.mp3,Featuring Bizzy B vs DJ L.A.B.\n(Where's the oil? What does it mean?)\n\nTracklist: \n\nDirty Dike - Woah feat. Lee Scott\nThrackh - 187\ncesrv - U Make Me\nAnderson .Paak - Come Down,01:00:37,#051 - Going Loco Down In Orinoco (an introduction),FALSE,Jimmy Budd,The Jimmy Budd Experience,
564,1efc70f7-ae68-4b18-953f-64c65f27f275,1589586202958,15th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/15th_May_2020.mp3,"I wouldn't bother, this one's not even worth your time.\n\nTracklist: \n\nRMR - Dealer\nWestside Gunn – George Bondo feat. Conway The Machine & Benny The Butcher\nKode9 - Bacteria in Dub feat. the Spaceape, Luciana Parisi & Ms.Haptic",58:20:00,#052 - A Complete And Utter Shambles,FALSE,Jimmy Budd,The Jimmy Budd Experience,
565,1efc70f7-ae68-4b18-953f-64c65f27f275,1589813535293,18th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200518_1000_Recording_2.mp3,"He's a fed, I'm 80% sure of it. \nScouse coppers, cockney groupers, 4sight's birthday, and a rare appearance from Powerjen.\n\nTracklist:\n\nDJ Bigga G - Mind, Body & Soul (4x4 Mix)\nSX - Woooo Riddim (Royal-T Remix)\nIAMDDB x Inka - Leaned Out",59:33:00,#053 - PC Build,FALSE,Jimmy Budd,The Jimmy Budd Experience,
566,1efc70f7-ae68-4b18-953f-64c65f27f275,1589894688319,19th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200519_1000_Recording_2.mp3,"Mike Tyson, pictures of Chinese munchie boxes, and yet another guest appearance from the Lex Woofer. \n\nTracklist:\n\nDabbla - Vomit feat. Jam Baxter\nKano - Hunting We Will Go feat. Ghetto\nDabbla - Blaze It Up\nDabbla - Super Happy",59:02:00,#054 - Dabbla-ing In The Dark Arts,FALSE,Jimmy Budd,The Jimmy Budd Experience,
567,1efc70f7-ae68-4b18-953f-64c65f27f275,1589972611506,20th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200520_1000_Recording_2.mp3,Remaining intolerant against intolerance. Jimmy's ducking off to Spotify.\n\nTracklist:\n\nB:Thorough x JT The Goon - Night Wave (Sunset Mix)\ndBridge & Kabuki - Dem A Sleep feat. V.I.V.E.K\nDirty Dike - Catch Me If You... Nah\nDead Players - Billa,59:34:00,#055 - Equally Intolerant,FALSE,Jimmy Budd,The Jimmy Budd Experience,
568,1efc70f7-ae68-4b18-953f-64c65f27f275,1590070502211,21st May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200521_1000_Recording.mp3,"Chopper, cryptocurrency, Tony Hawk... we've got it all.\n\nTracklist:\n\nJakes - Boom Boom Bass\nB:Thorough x JT The Goon - Calm Levz\nBenny Ill - Always\nShlohmo - Wen 222",59:47:00,#056 - SniFFs In The Chat For Creepy Joe,FALSE,Jimmy Budd,The Jimmy Budd Experience,
569,1efc70f7-ae68-4b18-953f-64c65f27f275,1590142347657,22nd May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200522_1000_Recording.mp3,It's festival season... STAY INDOORS.\n\nTracklist:\n\nCoco Bryce - Dis Cam Belie\nThe DSC - Fire (The 13th Der Remix)\nMadvillain - America's Most Blunted feat. Lord Quas,01:00:12,#057 - Rockport Weather,FALSE,Jimmy Budd,The Jimmy Budd Experience,
570,1efc70f7-ae68-4b18-953f-64c65f27f275,1590492218545,26th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200526_1000_Recording_2.mp3,Whipped coffee? Shite. Australian Masterchef on psychedelics? Mint. An hour of waffle? What else do you expect!?\n\nTracklist:\n\nSuperior Cornrows - 1954 Dub Special\nDSC - Jah Is Love\nJamin Nimjah - Smite I,01:01:31,#058 - Bank Holidaygate,FALSE,Jimmy Budd,The Jimmy Budd Experience,
571,1efc70f7-ae68-4b18-953f-64c65f27f275,1590576793885,27th May 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200527_1000_Recording.mp3,"We've been breached, hide the evidence.\n\nTracklist:\n\nJoker - Midnight\nJoker - Boss Mode\nJoker - Do It",59:43:00,#059 - Purple & Bass: The Threshold Exposé,FALSE,Jimmy Budd,The Jimmy Budd Experience,
